areaCode,areaName,areaType,date,newDeaths28DaysByDeathDate
E92000001,England,nation,2021-10-07,92
E92000001,England,nation,2021-10-06,76
E92000001,England,nation,2021-10-05,87
E92000001,England,nation,2021-10-04,82
E92000001,England,nation,2021-10-03,75
E92000001,England,nation,2021-10-02,75
E92000001,England,nation,2021-10-01,98
E92000001,England,nation,2021-09-30,81
E92000001,England,nation,2021-09-29,85
E92000001,England,nation,2021-09-28,79
E92000001,England,nation,2021-09-27,79
E92000001,England,nation,2021-09-26,68
E92000001,England,nation,2021-09-25,92
E92000001,England,nation,2021-09-24,92
E92000001,England,nation,2021-09-23,104
E92000001,England,nation,2021-09-22,106
E92000001,England,nation,2021-09-21,93
E92000001,England,nation,2021-09-20,105
E92000001,England,nation,2021-09-19,90
E92000001,England,nation,2021-09-18,93
E92000001,England,nation,2021-09-17,128
E92000001,England,nation,2021-09-16,114
E92000001,England,nation,2021-09-15,104
E92000001,England,nation,2021-09-14,118
E92000001,England,nation,2021-09-13,72
E92000001,England,nation,2021-09-12,106
E92000001,England,nation,2021-09-11,105
E92000001,England,nation,2021-09-10,110
E92000001,England,nation,2021-09-09,132
E92000001,England,nation,2021-09-08,115
E92000001,England,nation,2021-09-07,124
E92000001,England,nation,2021-09-06,122
E92000001,England,nation,2021-09-05,118
E92000001,England,nation,2021-09-04,111
E92000001,England,nation,2021-09-03,125
E92000001,England,nation,2021-09-02,101
E92000001,England,nation,2021-09-01,96
E92000001,England,nation,2021-08-31,95
E92000001,England,nation,2021-08-30,91
E92000001,England,nation,2021-08-29,107
E92000001,England,nation,2021-08-28,105
E92000001,England,nation,2021-08-27,106
E92000001,England,nation,2021-08-26,105
E92000001,England,nation,2021-08-25,88
E92000001,England,nation,2021-08-24,104
E92000001,England,nation,2021-08-23,97
E92000001,England,nation,2021-08-22,104
E92000001,England,nation,2021-08-21,89
E92000001,England,nation,2021-08-20,101
E92000001,England,nation,2021-08-19,93
E92000001,England,nation,2021-08-18,82
E92000001,England,nation,2021-08-17,98
E92000001,England,nation,2021-08-16,77
E92000001,England,nation,2021-08-15,74
E92000001,England,nation,2021-08-14,82
E92000001,England,nation,2021-08-13,90
E92000001,England,nation,2021-08-12,92
E92000001,England,nation,2021-08-11,80
E92000001,England,nation,2021-08-10,69
E92000001,England,nation,2021-08-09,70
E92000001,England,nation,2021-08-08,66
E92000001,England,nation,2021-08-07,85
E92000001,England,nation,2021-08-06,80
E92000001,England,nation,2021-08-05,90
E92000001,England,nation,2021-08-04,71
E92000001,England,nation,2021-08-03,66
E92000001,England,nation,2021-08-02,68
E92000001,England,nation,2021-08-01,75
E92000001,England,nation,2021-07-31,77
E92000001,England,nation,2021-07-30,94
E92000001,England,nation,2021-07-29,68
E92000001,England,nation,2021-07-28,72
E92000001,England,nation,2021-07-27,59
E92000001,England,nation,2021-07-26,67
E92000001,England,nation,2021-07-25,64
E92000001,England,nation,2021-07-24,65
E92000001,England,nation,2021-07-23,72
E92000001,England,nation,2021-07-22,65
E92000001,England,nation,2021-07-21,45
E92000001,England,nation,2021-07-20,49
E92000001,England,nation,2021-07-19,70
E92000001,England,nation,2021-07-18,57
E92000001,England,nation,2021-07-17,44
E92000001,England,nation,2021-07-16,41
E92000001,England,nation,2021-07-15,44
E92000001,England,nation,2021-07-14,33
E92000001,England,nation,2021-07-13,38
E92000001,England,nation,2021-07-12,34
E92000001,England,nation,2021-07-11,26
E92000001,England,nation,2021-07-10,33
E92000001,England,nation,2021-07-09,38
E92000001,England,nation,2021-07-08,30
E92000001,England,nation,2021-07-07,23
E92000001,England,nation,2021-07-06,20
E92000001,England,nation,2021-07-05,24
E92000001,England,nation,2021-07-04,23
E92000001,England,nation,2021-07-03,24
E92000001,England,nation,2021-07-02,25
E92000001,England,nation,2021-07-01,22
E92000001,England,nation,2021-06-30,20
E92000001,England,nation,2021-06-29,20
E92000001,England,nation,2021-06-28,10
E92000001,England,nation,2021-06-27,19
E92000001,England,nation,2021-06-26,9
E92000001,England,nation,2021-06-25,21
E92000001,England,nation,2021-06-24,21
E92000001,England,nation,2021-06-23,6
E92000001,England,nation,2021-06-22,9
E92000001,England,nation,2021-06-21,13
E92000001,England,nation,2021-06-20,22
E92000001,England,nation,2021-06-19,19
